"GALLERY","num_arrests"
"178622",3
"215114",4
"233130",3
"239846",3
"241893",3
"259675",7
"263335",3
"263548",3
"265825",3
"266166",3
"267396",3
"268360",4
"269080",4
"269131",13
"275858",4
"282814",5
"284901",4
"287290",3
"294487",3
"294661",3
"294832",3
"294959",5
"295090",3
"297554",4
"298307",3
"298721",3
"300182",4
"303201",5
"305035",3
"305642",3
"315555",3
"316229",3
"317832",3
"317879",3
"320994",3
"324219",3
"332020",4
"332478",3
"332491",4
"334119",4
"334623",4
"335021",3
"335141",4
"335585",3
"341199",10
"341333",7
"342970",3
"343879",3
"344984",4
"345635",3
"347499",11
"348470",3
"350465",3
"350865",6
"352509",3
"352853",3
"354055",3
"354066",3
"358150",8
"359068",3
"361921",3
"361931",3
"363791",4
"364404",3
"366357",5
"369808",4
"372756",3
"373341",3
"373852",3
"374759",4
"376574",3
"378539",3
"400100",3
"401015",3
"401186",3
"406624",3
"408502",3
"411253",3
"411264",6
"411288",4
"412430",3
"412830",4
"412899",3
"412905",4
"414192",3
"414614",5
"415486",3
"418484",6
"420546",5
"422047",4
"422285",3
"427119",3
"427752",3
"428484",3
"428659",3
"428838",3
"429865",4
"430353",4
"430687",3
"432481",3
"434623",3
"439019",3
"440946",3
"440969",3
"441204",5
"443494",3
"444080",3
"445361",3
"447563",3
"447855",3
"450113",3
"451958",3
"454512",3
"456481",3
"456934",3
"457130",3
"457184",5
"459549",3
"460365",3
"460916",3
"464931",3
"465159",3
"465960",12
"468413",3
"469634",4
"472555",3
"473310",3
"476682",3
"478225",3
"480929",3
"481746",4
"483907",4
"484285",3
"485516",3
"488740",4
"489975",3
"492057",3
"494809",3
"495168",4
"495246",4
"495729",3
"496116",3
"496276",3
"497160",4
"498043",3
"499036",3
"499176",5
"499335",4
"499657",3
"500491",4
"500533",3
"502053",4
"502120",3
"502305",3
"502763",4
"503017",3
"505154",4
"508213",3
"508642",3
"508898",3
"509605",3
"509736",3
"511371",3
"511503",3
"512166",3
"512592",3
"512638",4
"514676",6
"518094",3
"518702",7
"518809",5
"520174",3
"521089",4
"521171",3
"523720",3
"524993",3
"525678",3
"525754",4
"526394",3
"528875",4
"528954",4
"529809",4
"532106",3
"533229",4
"534056",3
"535054",3
"535105",4
"538095",3
"538574",3
"538614",3
"538922",3
"540588",3
"542745",3
"542991",3
"543129",3
"543168",10
"543572",3
"544419",3
"544683",3
"546246",3
"546742",3
"547230",4
"548225",3
"551609",4
"552684",3
"554286",3
"554373",3
"554675",5
"555029",3
"555645",4
"556197",3
"556322",3
"556745",4
"558715",5
"558735",3
"558794",5
"559749",3
"560084",3
"560624",5
"561156",4
"561379",4
"561433",4
"562527",3
"563062",3
"563505",5
"563546",3
"564453",9
"564983",3
"565132",3
"565279",4
"565799",3
"567144",4
"567776",3
"570108",5
"571145",3
"572215",7
"573491",3
"573584",3
"573932",3
"574028",3
"574091",3
"574360",3
"574970",6
"577307",3
"577956",3
"580296",4
"580411",3
"580722",4
"581255",3
"582167",8
"582544",5
"583132",6
"583136",3
"583360",3
"584156",3
"584634",3
"584887",3
"585276",3
"585310",3
"586162",3
"586421",4
"587622",3
"587760",3
"587788",5
"588547",3
"589100",3
"590329",3
"590976",4
"591043",3
"591202",3
"591468",4
"592130",4
"592339",5
"592610",3
"593783",3
"593788",3
"594798",5
"595144",4
"596629",3
"597257",3
"598212",5
"598259",3
"598420",6
"598659",4
"599274",4
"599845",4
"599857",3
"600597",8
"600794",7
"600853",4
"601138",3
"601535",5
"601586",3
"601610",4
"601928",3
"602044",3
"602063",3
"602715",4
"603524",4
"603994",3
"604082",7
"604304",4
"605302",3
"605386",3
"605404",3
"605882",3
"605993",3
"606608",3
"607618",3
"607778",4
"609420",5
"610447",3
"610823",3
"610978",3
"611035",4
"611207",3
"611777",4
"612118",4
"612821",3
"612898",3
"614210",3
"615026",3
"615110",4
"615697",4
"615948",3
"616050",3
"618115",3
"619140",3
"619424",3
"621006",3
"621510",3
"621745",6
"621977",4
"622496",5
"622928",3
"622971",3
"623026",3
"623488",3
"623853",3
"624202",4
"624506",3
"624520",3
"624612",3
"625165",3
"625216",4
"625284",3
"625319",3
"625507",3
"626216",3
"626579",3
"626841",5
"627420",3
"627584",3
"627875",5
"627989",3
"628147",4
"628151",5
"628535",3
"628547",3
"628770",3
"629016",5
"629529",3
