"GALLERY","num_arrests"
"215114",3
"239846",3
"259675",7
"263548",3
"265825",3
"266166",3
"269131",13
"284901",3
"294487",3
"294959",3
"295090",3
"297554",3
"298307",3
"298721",3
"300182",3
"303201",5
"305035",3
"317879",3
"320994",3
"324219",3
"332491",3
"334119",4
"334623",4
"335021",3
"341199",7
"341333",6
"343879",3
"347499",10
"348470",3
"352853",3
"358150",5
"363791",3
"364404",3
"369808",3
"372756",3
"373852",3
"374759",3
"376574",3
"401186",3
"406624",3
"411264",5
"411288",4
"412830",3
"412905",3
"414192",3
"414614",5
"415486",3
"418484",4
"420546",5
"422047",4
"427119",3
"428659",3
"430353",3
"432481",3
"441204",4
"444080",3
"450113",3
"454512",3
"457130",3
"457184",5
"459549",3
"460365",3
"465960",11
"468413",3
"469634",4
"476682",3
"492057",3
"494809",3
"495168",4
"495246",3
"497160",3
"498043",3
"499036",3
"499335",3
"500491",3
"502053",4
"502763",3
"505154",4
"508642",3
"509605",3
"511503",3
"512166",3
"514676",3
"518702",5
"518809",5
"521089",3
"525754",3
"528875",3
"528954",3
"533229",3
"535105",3
"538614",3
"540588",3
"542745",3
"542991",3
"543129",3
"543168",7
"544683",3
"546742",3
"547230",3
"552684",3
"554373",3
"554675",5
"555645",3
"558735",3
"560624",4
"561156",4
"561433",4
"563062",3
"563505",5
"564453",4
"565132",3
"565799",3
"567776",3
"570108",4
"572215",5
"573491",3
"574970",4
"577956",3
"580722",3
"581255",3
"582167",7
"582544",5
"583132",5
"583136",3
"583360",3
"589100",3
"590329",3
"590976",3
"591202",3
"592339",5
"592610",3
"595144",4
"597257",3
"598212",3
"598420",3
"598659",3
"599274",3
"599845",4
"600597",5
"600794",5
"600853",3
"602044",3
"602063",3
"603524",3
"604082",5
"604304",4
"607778",3
"611035",4
"611207",3
"612118",3
"615697",3
"615948",3
"619424",3
"621510",3
"621745",4
"622496",4
"623853",3
"624202",3
"624506",3
"624612",3
"625165",3
"626216",3
"626841",3
"627584",3
"627875",3
"628147",3
"628151",3
"628770",3
"629016",4
"629529",3
"630803",3
"635283",3
"636338",4
"636779",8
"641195",3
"641276",3
"641339",3
"641565",6
"641658",3
"643641",6
"645149",3
"645547",5
"647199",3
"647398",3
"648332",4
"649404",4
"650939",3
"651222",5
"652229",3
"652348",5
"652555",3
"653633",3
"653656",4
"653728",4
"654542",3
"655023",3
"656623",6
"656664",4
"658013",3
"658164",7
"658568",7
"658574",3
"659170",3
"659205",6
"660302",3
"660543",3
"663481",5
"663773",3
"664979",5
"665080",3
"666297",4
"668938",3
"669734",3
"670537",4
"671787",3
"673148",3
"673454",4
"674807",4
"674898",3
"676270",3
"676926",3
"678271",3
"682629",3
"683201",3
"683565",6
"688122",6
"688589",3
"688709",5
"689038",3
"690262",3
"690618",4
"691311",3
"693442",3
"693756",3
"694021",4
"694050",3
"694598",4
"694792",3
"694824",4
"695176",4
"696577",4
"696701",4
"696847",3
"697852",3
"698101",3
"699047",3
"699433",3
"699483",4
"699685",4
"700222",3
"701449",3
"701644",7
"701675",4
"703138",3
"703233",3
"704367",3
"705249",3
"707005",4
"707250",3
"709068",4
"709832",3
"710028",4
"710325",3
"712587",3
"713194",3
"714261",3
"714301",5
"715442",4
"715966",3
"716061",4
"716161",3
"716164",3
"716255",3
"718740",3
"720276",3
"720353",3
"720923",3
"722253",3
"722643",3
"723196",3
"724119",9
"725222",3
"726275",3
"727566",6
"728634",3
"729422",3
"729438",3
"729926",3
"730211",3
"730751",3
"731162",3
"731702",3
"732761",3
"732932",3
"733395",3
"733953",4
"734173",4
"738848",3
"739057",3
"739269",4
"741284",4
"742040",3
"742909",5
"742920",4
"743022",3
"743772",3
"745947",4
"746205",3
"747382",3
"750015",5
"751451",5
"752009",6
"752983",3
"754266",3
"754609",3
"754644",4
"756275",3
"757426",3
"758160",3
"758859",3
"771305",3
"771722",3
"772234",3
"772296",3
"772944",4
"774107",3
"774657",3
"776002",3
"777303",3
"777553",4
"778449",3
"779616",4
"781529",3
"783079",3
"783548",5
"785741",4
"787265",3
"787305",3
"787561",4
"787736",3
"789190",3
"789466",3
"789752",3
"790627",3
"791292",3
"793340",3
"793777",3
"794639",3
"795715",4
"795910",3
"796394",6
"797340",4
"798580",3
"799350",3
"799761",3
"799951",5
"801198",3
"801563",3
"801678",3
"801820",5
"802201",3
"802732",4
"803624",4
"804610",3
"804987",3
"804995",3
"805142",3
"805534",3
"806337",4
"807113",3
"807229",3
"808070",3
"808195",3
"809400",3
"810097",4
"813236",3
"814118",3
"814281",3
"817057",4
"817687",3
"817886",3
"817963",3
"818092",3
"818998",3
"819546",3
"819726",3
"820278",7
"821220",3
"821255",3
"821489",4
"821521",3
"821868",4
"822306",6
"822542",3
"822794",4
"822868",3
"823681",3
"823758",4
"823905",3
"824613",3
"824813",8
"825556",3
"825762",3
"825984",4
"826145",3
"826655",4
"826662",3
"828053",3
"828374",4
"828472",3
"828482",3
"828647",3
"829009",6
"829388",3
"829428",3
"829451",3
"829660",3
"829901",3
"830005",3
"830476",3
"830898",4
"831075",4
"831138",3
"831187",5
"831203",3
"831262",4
"831289",3
"831805",3
"832046",8
"832153",3
"832170",5
"832193",4
"832285",3
"832294",3
"832414",3
"832503",3
"832585",3
"832977",3
"833134",4
"833496",3
"833629",3
"833908",3
"834187",3
"834581",3
"834902",3
"834979",3
"835300",4
"835354",5
"835395",5
"835541",3
"835756",4
"835826",5
"835862",4
"835968",3
"835983",3
"836032",3
"836072",3
"836121",3
"836222",3
"836242",3
"836245",3
"836340",3
"836377",3
"836423",3
"836449",3
"836785",4
"836810",5
"836820",5
"836904",5
"836914",3
"836951",3
"836977",3
"836994",3
"837001",8
"837018",3
"837039",3
"837079",5
"837100",4
"837206",3
"837227",3
"837263",5
"837319",3
"837457",7
"837601",5
"837603",6
"837639",3
"837934",3
"838128",3
"838142",3
"838203",3
"838351",4
"838542",3
"838835",5
"838858",6
"838901",3
"838937",5
"838955",3
"839069",3
"839187",3
"839238",3
"840144",3
"840612",3
