"GALLERY","num_arrests"
"178622",4
"210217",3
"231646",5
"240849",7
"249346",3
"252401",5
"258360",5
"259675",8
"263548",3
"268360",4
"268984",3
"269131",8
"275128",5
"276995",3
"277548",7
"282814",5
"287290",4
"288810",3
"290504",5
"291949",3
"292475",3
"297299",3
"297312",3
"298307",5
"312440",3
"312897",4
"314836",3
"314860",3
"320994",3
"326055",6
"330139",3
"330813",3
"334040",3
"339762",3
"341199",4
"341333",6
"347499",3
"350802",3
"350865",4
"351343",3
"352191",3
"352530",3
"353044",3
"353357",3
"353437",4
"356442",3
"358725",3
"359298",4
"359529",3
"360034",3
"360104",4
"361590",3
"363758",3
"365465",10
"369413",3
"373340",13
"376669",4
"400390",3
"400738",3
"401015",9
"402096",3
"403426",3
"404301",3
"406232",3
"408373",3
"411264",10
"411940",3
"412899",9
"415245",3
"415477",3
"415548",3
"416873",3
"417073",4
"418311",3
"418484",5
"420240",4
"421772",4
"422062",3
"427774",3
"430339",5
"430353",5
"430687",5
"431301",4
"432289",3
"433704",3
"436700",3
"439019",3
"439791",3
"439994",3
"440133",3
"441905",3
"445186",3
"447145",3
"447855",4
"447919",3
"448488",5
"451548",3
"452120",5
"453284",3
"453316",3
"454512",4
"454987",4
"461113",3
"463151",3
"463792",5
"468159",4
"469038",3
"470675",4
"471225",3
"473644",9
"476205",7
"479886",3
"481286",5
"482209",5
"482399",3
"484071",3
"484275",3
"484648",3
"485610",3
"485748",3
"487021",3
"487278",6
"487683",5
"487688",3
"489832",5
"493906",3
"495539",4
"495826",3
"495921",3
"498422",3
"499176",5
"500219",3
"500491",3
"500533",4
"501400",6
"502120",3
"502739",4
"502796",3
"503207",3
"503442",3
"504581",3
"506184",3
"506218",5
"506834",6
"507031",3
"508898",5
"509306",4
"510335",3
"510631",4
"510633",3
"514676",4
"514767",3
"515650",4
"518702",8
"518809",4
"519534",5
"519619",3
"519714",3
"520302",3
"521081",3
"521089",8
"521425",3
"521507",3
"521578",5
"522262",3
"523380",4
"523720",3
"524148",3
"525754",6
"527258",6
"527738",3
"528875",3
"529159",3
"529789",6
"529809",4
"530417",3
"531061",3
"531580",3
"531734",3
"531776",3
"531800",3
"532104",4
"533298",3
"533780",4
"535105",5
"535634",3
"535758",4
"535969",3
"536818",3
"537344",3
"538519",4
"539359",3
"540157",3
"541468",3
"542979",3
"543059",4
"543168",4
"543336",4
"543572",3
"545361",3
"545679",3
"546032",3
"547874",3
"549745",3
"550453",3
"550798",3
"553238",3
"554116",3
"554621",3
"554675",4
"555029",4
"555050",3
"555689",4
"555776",4
"556688",4
"556998",3
"557843",3
"558715",5
"561192",4
"561205",3
"561433",3
"562358",3
"563193",4
"563854",4
"565279",3
"566381",4
"567125",3
"567175",3
"567300",3
"568306",4
"569164",3
"569938",5
"570108",4
"570647",3
"571281",3
"572805",3
"572974",4
"573347",3
"573469",3
"574733",3
"576642",3
"577338",3
"577719",3
"579452",5
"579748",3
"581038",4
"581427",4
"582161",3
"582167",3
"582221",4
"583057",4
"583132",6
"583218",4
"583330",3
"583585",3
"583867",6
"584405",3
"584791",3
"585160",8
"585967",3
"586162",6
"586628",3
"586998",3
"587048",4
"587622",4
"587788",5
"588476",3
"588498",4
"588839",3
"589412",12
"589810",3
"590053",3
"590116",3
"590687",3
"590746",3
"590791",3
"590991",3
"591732",3
"592200",5
"592339",7
"592487",3
"592869",3
"593383",5
"593696",3
"596490",3
"596922",3
"597067",3
"597902",3
"597916",3
"598212",6
"598959",3
"599075",5
"599274",3
"600794",4
"601090",4
"601423",3
"601535",12
"602217",6
"602760",5
"602939",3
"604082",9
"605508",4
"605863",3
"605993",3
"606800",3
"607778",3
"607847",3
"609003",7
"609898",3
